transaction_id,customer_id,join_date,purchase_amount,category,flagged
TX1001,C101,2023-01-15,150.50,Electronics,False
TX1002,C102,15/02/2023,45.00,Clothing,False
TX1003,C103,2023-03-10,,Home,False
TX1004,C104,2023-04-22,2300.00,Electronics,True
TX1005,C105,2023-05-05,-15.00,Books,False
TX1002,C102,15/02/2023,45.00,Clothing,False
TX1006,C106,2023/06/12,85.25,elecTRONICS,False
TX1007,C107,2023-07-19,12000.00,Home,True
TX1008,,2023-08-25,65.40,Books,False
TX1009,C109,2023-09-30,99999.00,Unknown,False
TX1010,C110,2023-10-05,110.00,Clothing,
TX1011,C111,NOT_A_DATE,55.00,Home,False
TX1012,C112,2023-11-12,135.50,Sports,False
TX1012,C112,2023-11-12,135.50,Sports,False
TX1013,C113,2023-12-01,0.00,Books,False
